Name;Verkaufte Menge;Gesamt
;1;15.13
Asropa Vinh-Loi;13;32.68
Atti Shop;74;86.53
;15;140.19
Nabu Kopi Ranah Indonesia;55;475.74
Heuschen & Schrouff;1791;1259.89
Lucullus;783;2009.98
;1353;2998.30
Oriental Merchant;6960;13217.19
Nesia Food;7755;22451.36
