"Product ID";Bild;Name;Artikel-Nr.;Kategorie;"Verkaufspreis netto";"Verkaufspreis brutto";Menge;Status;Position
2687;https://shop.indomarkt.com/2379/17139.jpg;"MUNIK, Gegrilltes Hähnchen, 150g";17139;"Gewürze & Gewürzemischungen";4.205607;4.5;10;0
2686;https://shop.indomarkt.com/2378/17138.jpg;"MUNIK, Jakarta Duftreis Gewürz, 2 x 34g";17138;"Gewürze & Gewürzemischungen";4.205607;4.5;8;0
2685;https://shop.indomarkt.com/2376/17136.jpg;"MUNIK, Laksagewürz, 70g";17137;"Gewürze & Gewürzemischungen";4.205607;4.5;10;0
2684;https://shop.indomarkt.com/2377/banggo-tongseng-würzpaste-50g.jpg;"BANGO, Jakarta gebratenes Reis mit Lamm, 40g";17136;"Gewürze & Gewürzemischungen";1.168224;1.25;431;0
2658;https://shop.indomarkt.com/2269/cap-wayang-fischchips-palembang-500-g.jpg;"CAP WAYANG, Fischchips Palembang, 500 g";14469;"Krupuk & Emping";6.074766;6.5;50;0
2615;https://shop.indomarkt.com//54026.jpg;"NUTRISARI, Sweet Guava 10 x 14 gr";54026;Start;2.521008;3;8;0
2614;https://shop.indomarkt.com//54025.jpg;"NUTRISARI, American Sweet Orange 10 x 14 gr";54025;Kraütergetränke;2.521008;3;-1;1
2613;https://shop.indomarkt.com//54024.jpg;"NUTRISARI, Florida Orange 10 x 14 gr";54024;Kraütergetränke;2.521008;3;0;1
2612;https://shop.indomarkt.com/2317/54023.jpg;"INTRA, Ingwer-Kaffeemilch, 5x28 g";54023;Getränke;2.336449;2.5;45;0
2586;https://shop.indomarkt.com/2338/51058.jpg;"IDN.CO, Indonesischer Spezialische Kaffee FINE ROBUSTA JAMBI, 200 g";51058;Getränke;7.934579;8.49;10;0
2585;https://shop.indomarkt.com/2339/51057.jpg;"IDN.CO, Indonesischer Premium Kaffee Komodo Gold GAYO, 500 g";51057;Getränke;14.476636;15.49;0;1
2525;https://shop.indomarkt.com//70051.jpg;"H & S, Sate Stäbchen 24,5 cm, 100pcs";70051;"Küchewaren, keine Elektronik";1.859813;1.99;9;0
2428;https://shop.indomarkt.com/2296/35091.jpg;"NESIA, Kapoer Sirih, 100 g";35091;Lebensmittel;0.934579;1;22;0
2401;https://shop.indomarkt.com//32178.jpg;"Medjool Datten, 450 g";32178;"Snacks & Süßwaren";7.009346;7.5;1;0
2395;https://shop.indomarkt.com/2346/32172.jpg;"KOBE, Boncabe Makaroni Crispy lv 10, 150 g";32172;"Snacks & Süßwaren";2.514019;2.69;50;0
2394;https://shop.indomarkt.com/2332/32171.jpg;"TICTAC, Pilus Mix, 100 g";32171;"Snacks & Süßwaren";0.925234;0.99;82;0
2393;https://shop.indomarkt.com/2344/32170.jpg;"KINO, Durian Bonbon, 125 g";32170;"Snacks & Süßwaren";1.401869;1.5;8;0
2391;https://shop.indomarkt.com/2327/32168.jpg;"DUA KELINCI, Sukro Oven Scharf, 100 g";32168;"Snacks & Süßwaren";1.635514;1.75;33;0
2390;https://shop.indomarkt.com/2328/32167.jpg;"DUA KELINCI, Shanghai Erdnüsse Original, 450 g";32167;"Snacks & Süßwaren";4.205607;4.5;17;0
2278;https://shop.indomarkt.com/2373/21104.jpg;"KOBE, BonCabe Nori lvl 3, 35g";21104;"Gewürze & Gewürzemischungen";2.803738;3;39;0
2277;https://shop.indomarkt.com/2372/21103.jpg;"KOBE, BonCabe Max End lvl 50, 30gr";21103;"Gewürze & Gewürzemischungen";2.803738;3;9;0
2276;https://shop.indomarkt.com/2359/21102.jpg;"JAWARA, Saus Cabe Extra Hot 250ml";21102;"Chilisosse & -paste";2.336449;2.5;15;0
2275;https://shop.indomarkt.com/2358/21101.jpg;"JAWARA, Saus Cabe Extra Hot 120ml";21101;"Soße, Saucen, Pasten & Öle";1.766355;1.89;44;0
2274;https://shop.indomarkt.com//21100.jpg;"Flying Goose Brand, Sriracha Chillisauce, 455ml";21100;"Chilisosse & -paste";3.728972;3.99;8;0
2273;https://shop.indomarkt.com//21099.jpg;"CAP IBU, Bajak Chilipaste, 230g";21099;Start;3.271028;3.5;47;0
2272;https://shop.indomarkt.com/2342/21098.jpg;"DUA BELIBIS, Terasi Chili Paste (Sachet), 10 x 15 g";21098;"Soße, Saucen, Pasten & Öle";2.336449;2.5;0;1
2269;https://shop.indomarkt.com/2272/21095.jpg;"DUA BELIBIS, Chilipaste mit Garnelen, 170 g";21095;"Soße, Saucen, Pasten & Öle";2.570093;2.75;9;0
2261;https://shop.indomarkt.com/2375/20033.jpg;"Golden Turtle, Kokosmilch, 330ml";20033;"Kokosmilch & Kokosraspel";1.672897;1.79;5;0
2251;https://shop.indomarkt.com/2365/17133.jpg;"BANGO, Aceh gebratene Nudeln Würzpaste, 25g";17133;"Fertige Würzmischung";1.168224;1.25;31;0
2236;https://shop.indomarkt.com/2367/17135.jpg;"BANGO, Tongseng Würzpaste, 50g";17135;"Gewürze & Gewürzemischungen";1.168224;1.25;40;0
2235;https://shop.indomarkt.com/2366/17134.jpg;"BANGO, Malang ostjavanische Rindersuppe (Rawon) Würzpaste, 35g";17134;"Fertige Würzmischung";1.168224;1.25;40;0
2234;https://shop.indomarkt.com/2364/17132.jpg;"BANGO, Jakarta Rindersuppe (Soto Betawi) Würzpaste, 45g";17132;"Fertige Würzmischung";1.168224;1.25;8;0
2232;https://shop.indomarkt.com//17130.jpg;"MUNIK, Gebratenen Reis Gewürze, 55 g";17130;Start;4.205607;4.5;8;0
