"Artikel-Nr.";"Ean";"Name";"Verkaufte Menge";"Umsatz Brutto";"Tags";"Lieferant";"Hersteller";"Herstellernummer"
"21076";"8992984910111";"DUA BELIBIS, Chilli Soße, 24 x 9 g";"123";"412,87";"";" ";"DUA BELIBIS";""
"20007";"8886303210207";"KARA, Kokosmilch UHT, 200 ml";"212";"411,07";"";" ";"KARA";""
"31014";"8714384000458";"Nivo, Palm Zucker (Beutel), 250 g";"211";"410,37";"";" ";"Nivo";""
"";"null";"null";"1065";"409,79";"";" ";"null";"null"
"";"null";"null";"31";"408,94";"";" ";"null";"null"
"";"null";"null";"34";"408,55";"";" ";"null";"null"
"12003";"8992388121045";"ABC, Instant-Nudeln Hähnchensuppe Geschmack (Soto), 60 g";"341";"407,82";"";" ";"ABC";""
"";"null";"null";"838";"407,46";"";" ";"null";"null"
"";"null";"null";"108";"406,57";"";" ";"null";"null"
"";"null";"null";"74";"405,95";"";" ";"null";"null"
"12000";"8992388121038";"ABC, Instant-Nudeln Zwiebel Huhn Geschmack, 60 g";"339";"405,72";"";" ";"ABC";""
"50025";"8992936218012";"TONG TJI, Jasmin Teeblätter, 50 g";"165";"403,38";"";" ";"TONG TJI";""
"";"null";"null";"213";"398,48";"";" ";"null";"null"
"28049";"8927122880698";"NESIA, Garnelenchips 4 cm, 250 g";"122";"398,40";"";" ";"NESIA";""
"";"null";"null";"1036";"397,75";"";" ";"null";"null"
"12012";"089686010015";"INDOMIE, Hähnchen zwiebeln, 75 g";"998";"397,24";"";" ";"INDOMIE";""
"";"null";"null";"100";"392,73";"";" ";"null";"null"
"12148";"8995899210215";"KOBE, BonCabe Nudeln lv 15, 105 g";"398";"391,43";"";" ";"KOBE";""
"35044";"8997220180099";"SWALLOW GLOBE, Agar-Agar Pulver Ohne Farbe, 7 g";"260";"388,50";"";" ";"SWALLOW GLOBE";""
"";"null";"null";"86";"384,75";"";" ";"null";"null"
"12017";"089686170191";"INDOMIE, mit Hähnchen-Curry Geschmack, 80 g";"990";"382,46";"";" ";"INDOMIE";""
"30017";"8927234887813";"NESIA, Seroendeng Kampoeng, 250 g";"108";"382,06";"";" ";"NESIA";""
"";"null";"null";"177";"380,88";"";" ";"null";"null"
"42016";"42016";"Warung Bakso, Bakso Kecil Polos, 460g";"37";"378,50";"";" ";"Warung Bakso";""
"12140";"8996001524008";"SUPER BUBUR, Instant Porridge Hühnergeschmack, 45 g";"251";"376,50";"";" ";"MAYORA";""
"32158";"8927122881237";"NESIA, Pastel Koekjes Süß, 150 g";"140";"374,54";"";" ";"NESIA";""
"52009";"8996001440049";"ENERGEN, Instant Cereal Schokolade, 10x30 g";"82";"374,18";"";" ";"ENERGEN";""
"";"null";"null";"110";"371,56";"";" ";"null";"null"
"54005";"044406700201";"INTRA, Instant Ginger Drink, 20x22, 5 g";"76";"370,25";"";" ";"INTRA";""
"";"null";"null";"245";"369,60";"";" ";"null";"null"
"";"null";"null";"168";"369,38";"";" ";"null";"null"
"14008";"8995899111024";"KOBE, Tepung Tempe Kriuk, 70 g";"247";"369,15";"";" ";"KOBE";""
"";"null";"null";"963";"368,17";"";" ";"null";"null"
"52008";"8996001440087";"ENERGEN, Instant Cereal Drinks Mungbohnen, 10x30 g";"80";"364,07";"";" ";"ENERGEN";""
"";"null";"null";"141";"362,07";"";" ";"null";"null"
"";"null";"null";"931";"361,88";"";" ";"null";"null"
"56042";"8938507849131";"COCO XIM, Kokoswasser, 1000 ml";"125";"361,25";"";" ";"COCO XIM";""
"23023";"711844110083";"ABC, süße Sojasauce, 275 ml";"140";"360,60";"";" ";"ABC";""
"";"null";"null";"76";"356,81";"";" ";"null";"null"
"14467";"8994155700408";"CAP WAYANG, Thunfisch Crackers Palembang Mini, 250 g";"70";"354,35";"";" ";"CAP WAYANG";""
"";"null";"null";"123";"352,74";"";" ";"null";"null"
"";"null";"null";"180";"351,94";"";" ";"null";"null"
"";"null";"null";"187";"350,41";"";" ";"null";"null"
"";"null";"null";"194";"349,18";"";" ";"null";"null"
"";"null";"null";"118";"347,86";"";" ";"null";"null"
"23035";"711844110618";"ABC, süße Sojasoße, 620 ml";"89";"346,70";"";" ";"ABC";""
"";"null";"null";"137";"346,45";"";" ";"null";"null"
"21064";"8994907000039";"ABC, Chilisauce Scharf & Süß, 335 ml";"122";"344,34";"";" ";"ABC";""
"";"null";"null";"113";"341,77";"";" ";"null";"null"
"";"null";"null";"211";"341,66";"";" ";"null";"null"
"";"null";"null";"140";"340,76";"";" ";"null";"null"
"";"null";"null";"198";"340,59";"";" ";"null";"null"
"";"null";"null";"98";"339,21";"";" ";"null";"null"
"";"null";"null";"219";"337,68";"";" ";"null";"null"
"32017";"8992775220214";"GARUDA, Scharfes Atom Erdnuss, 200g";"170";"337,60";"";" ";"GARUDA";""
"21095";"8992984910647";"DUA BELIBIS, Chilipaste mit Garnelen, 170 g";"128";"336,73";"";" ";"DUA BELIBIS";""
"";"null";"null";"160";"336,63";"";" ";"null";"null"
"11000";"8994357010015";"CAP ATOOM BULAN, Eier Nudeln, 200 g";"221";"335,56";"";" ";"CAP ATOOM BULAN";""
"";"null";"null";"95";"331,89";"";" ";"null";"null"
"16066";"8710853021306";"LUCULLUS, Kentjur gemahlen, 35 g";"100";"331,11";"";" ";"LUCULLUS";""
"";"null";"null";"134";"330,75";"";" ";"null";"null"
"32161";"8996001302637";"ROMA, Malkist Schokolade, 153 g";"272";"328,66";"";" ";"MAYORA";""
"21087";"8992770096135";"SAORI, Austernsöße, 270 ml";"94";"327,43";"";" ";"SAORI";""
"";"null";"null";"27";"325,97";"";" ";"null";"null"
"29000";"8927122880636";"NESIA, Gebacken Rengginang, 125 g";"136";"322,57";"";" ";"NESIA";""
"17015";"8992735210040";"BAMBOE, ostjavanische Rindersuppe (Rawon), 54 g";"280";"319,64";"";" ";"BAMBOE ";""
"16067";"8714384018101";"BERLIAN, Kemirinuss, 100 g";"139";"319,19";"";" ";"BERLIAN";""
"";"null";"null";"114";"319,06";"";" ";"null";"null"
"";"null";"null";"92";"318,60";"";" ";"null";"null"
"39033";"8927122887956";"NESIA, Cassava Blätter gefroren, 200 g";"94";"317,74";"";" ";"NESIA";""
"12137";"8801073113947";"SAMYANG, Instant-Nudeln Jjajang, 140 g";"242";"316,12";"";" ";"SAMYANG";""
"";"null";"null";"118";"315,01";"";" ";"null";"null"
"28031";"8927122888298";"NESIA, Gado-Gado Chips Roh, 250 g";"90";"315,00";"";" ";"NESIA";""
"";"null";"null";"25";"313,20";"";" ";"null";"null"
"80006";"8998898335415";"SIDOMUNCUL, Tolak Linu Herbal Drinks, 5 x 15 ml";"103";"312,75";"";" ";"SIDOMUNCUL";""
"25010";"8710917003019";"WIJSMAN, Butter, 200 g";"53";"312,00";"";" ";"WIJSMAN";""
"18006";"9556092281007";"JEENY`S, Petis Garnelen, 240 g";"112";"311,55";"";" ";"JEENY'S";""
"";"null";"null";"89";"308,88";"";" ";"null";"null"
"21075";"711844120570";"ABC, Chilipastegrün, 180 g";"93";"307,22";"";" ";"ABC";""
"20009";"8886303210504";"KARA, Kokosmilch UHT, 500 ml";"110";"306,27";"";" ";"KARA";""
"";"null";"null";"263";"306,00";"";" ";"null";"null"
"32039";"653314502144";"KUSUKA, Cassava Chips mit Grill-Käse Geschmack, 180 g";"123";"305,39";"";" ";"KUSUKA";""
"";"null";"null";"546";"304,45";"";" ";"null";"null"
"";"null";"null";"89";"303,84";"";" ";"null";"null"
"25012";"8717703613445";"Golden Turtle, Sojaöl, 1L";"98";"303,64";"";" ";"";""
"";"null";"null";"259";"303,59";"";" ";"null";"null"
"12001";"8992388121090";"ABC, Instant-Nudeln Rinder Geschmack, 60 g";"253";"303,24";"";" ";"ABC";""
"";"null";"null";"161";"302,73";"";" ";"null";"null"
"12151";"8996001524060";"SUPER BUBUR, Instant Porridge Soto Geschmack, 46 g";"202";"302,70";"";" ";"MAYORA";""
"";"null";"null";"83";"302,20";"";" ";"null";"null"
"";"null";"null";"133";"301,65";"";" ";"null";"null"
"21089";"8995899209141";"KOBE, BonCabe Chili-Flocken Fisch Roa lv15, 40 g";"86";"300,13";"";" ";"KOBE";""
"";"null";"null";"152";"299,90";"";" ";"null";"null"
"";"null";"null";"748";"298,18";"";" ";"null";"null"
"10050";"8720301100354";"ROYAL TIGER Jasmin Reis, 1 kg";"115";"297,46";"";" ";"ROYAL TIGER";""
"";"null";"null";"47";"296,35";"";" ";"null";"null"
"";"null";"null";"247";"295,83";"";" ";"null";"null"
"17013";"8992735210095";"BAMBOE, gebratener Reis Würzpaste, 40 g";"258";"295,61";"";" ";"BAMBOE ";""
"11019";"6901017321192";"Long Life, Schnellkochnudeln, 500 g";"173";"295,35";"";" ";"Long Life";""
"";"null";"null";"162";"294,92";"";" ";"null";"null"
"13024";"8995152001857";"MERBABU, Sagu Tani Mehl, 500 g";"83";"294,68";"";" ";"MERBABU";""
"81001";"8993176110074";"CAP LANG, Kajeputöl, 60 ml";"78";"292,18";"";" ";"CAP LANG";""
"";"null";"null";"594";"291,04";"";" ";"null";"null"
"";"null";"null";"109";"290,50";"";" ";"null";"null"
"32094";"8927122884580";"NESIA, Süß & Würzig Kartoffelnchip , 200 g";"84";"288,48";"";" ";"NESIA";""
"";"null";"null";"340";"288,44";"";" ";"null";"null"
"16073";"8994155110078";"CAP WAYANG, Kemirinuss, 100 g";"140";"286,90";"";" ";"CAP WAYANG";""
"82000";"8992870410206";"HISAMITSU, Salonpas, 12 Blätter";"115";"286,38";"";" ";"HISAMITSU";""
"";"null";"null";"22";"286,00";"";" ";"null";"null"
"";"null";"null";"253";"285,56";"";" ";"null";"null"
"";"null";"null";"103";"285,55";"";" ";"null";"null"
